R1,,,,,,,,,,,,,,,,,,e1z2r1pX,R1
x,,,,,,,,,,,,,,,,,,e1z2r1pX,x
R5 R6,st,x,x,x,x,,e1z2r6p2,e1z2r6p1,x,x,e1z2r5pX,e1z2r5pX,,e1z2r5p42,e1z2r5p40,e1z2r5p39,e1z2r5p37,e1z2r5p36,R5 R6
x,st,x,x,x,x,,e1z2r6p4,e1z2r6p3,,,e1z2r5p47,e1z2r5p45,e1z2r5pX,e1z2r5p43,e1z2r5p41,,e1z2r5p35,e1z2r5p34,x
x,,x,x,x,x,,,e1z2r6p5,,,,,,,,,e1z2r5p33,,x
x,,x,x,x,x,,e1z2r6p6,e1z2r6p7,,,e1z2r5p17,e1z2r5p19,e1z2r5p22,e1z2r5p24,e1z2r5p23,,e1z2r5p31,e1z2r5p30,x
x,,x,x,x,x,,e1z2r6p8,e1z2r6p9,,,e1z2r5p18,e1z2r5p20,,e1z2r5p26,e1z2r5p25,e1z2r5p27,e1z2r5p29,e1z2r5p28,x
x,,x,x,x,x,,e1z2r6p10,,,,e1z2r5p16,,,,,,,,x
x,,,,,,,x,e1z2r6p11,,,e1z2r5p14,e1z2r5p12,,e1z2r5p8,e1z2r5p6,e1z2r5p5,e1z2r5p4,e1z2r5p2,x
x,,,,,,e1z2r6p14,x,e1z2r6p13,,,e1z2r5p13,e1z2r5p11,e1z2r5p10,e1z2r5p9,e1z2r5p7,,e1z2r5p3,e1z2r5p1,x
 ,,,,,,,,,,,,,,,,,,x, 
x,,,,,,,,,,,,,,,,,,x,x
R7 R8,,,,,,e1z2r8p40,e1z2r8p38,e1z2r8p37,,,e1z2r7p34,e1z2r7p35,e1z2r7p33,e1z2r7p31,e1z2r7p30,,e1z2r7p2,e1z2r7p1,R7 R8
x,,,,,,,e1z2r8p36,e1z2r8p35,,,e1z2r7p36,e1z2r7p37,,e1z2r7p29,e1z2r7p28,,e1z2r7p4,e1z2r7p3,x
x,,,,,,,e1z2r8p34,,,,,e1z2r7p39,,e1z2r7p27,,,,e1z2r7p5,x
x,e1z2r8p20,e1z2r8p21,e1z2r8p23,e1z2r8p25,e1z2r8p24,,e1z2r8p32,e1z2r8p31,,,e1z2r7p40,e1z2r7p41,,e1z2r7p25,e1z2r7p26,,e1z2r7p6,e1z2r7p7,x
x,e1z2r8p18,e1z2r8p19,,e1z2r8p27,e1z2r8p26,e1z2r8p28,e1z2r8p30,e1z2r8p29,,,e1z2r7p42,e1z2r7p43,,e1z2r7p23,e1z2r7p24,,e1z2r7p8,e1z2r7p9,x
x,,e1z2r8p17,,,,,,,,,e1z2r7p44,,,,e1z2r7p22,,e1z2r7p10,,x
x,e1z2r8p14,e1z2r8p15,,e1z2r8p7,e1z2r8p8,e1z2r8p6,x,e1z2r8p1,,,e1z2r7p46,e1z2r7p45,,e1z2r7p19,e1z2r7p20,,e1z2r7p12,e1z2r7p11,x
